message,label,language,type
यह एक अच्छा सुझाव है,0,hindi,normal
die poi,1,multilingual,toxic
कुत्ता,1,hindi,toxic
you idiot pokku,1,multilingual,toxic
लंगड़ा,1,hindi,toxic
Let's move forward with this,0,english,normal
വിവരങ്ങൾ നൽകിയതിന് നന്ദി,0,malayalam,normal
poda myre,1,tanglish,toxic
நீ போய் சாக,1,tamil,toxic
அது ஒரு நல்ல யோசனை,0,tamil,normal
You're the worst,1,english,toxic
mon loosu,1,tanglish,toxic
നല്ല പ്രവർത്തനം തുടരുക,0,malayalam,normal
എല്ലാവർക്കും നന്നായി,0,malayalam,normal
चूतिया,1,hindi,toxic
poyi pani nokku,1,manglish,toxic
Let's move forward with this,0,english,normal
You're horrible,1,english,toxic
आइए इसे आगे बढ़ाएं,0,hindi,normal
அனைவருக்கும் நல்லது,0,tamil,normal
suar myre,1,hinglish,toxic
Kill yourself,1,english,toxic
പോയി വെള്ളം കുടി,1,malayalam,toxic
Waste fellow,1,english,toxic
mon myre,1,manglish,toxic
நாம் ஒன்றாக வேலை செய்வோம்,0,tamil,normal
आपका दिन शुभ हो,0,hindi,normal
நான் இதை கவனித்துக்கொள்கிறேன்,0,tamil,normal
myre kevalam,1,tanglish,toxic
अपडेट के लिए धन्यवाद,0,hindi,normal
Go away you fool,1,english,toxic
idiot mone,1,multilingual,toxic
poyi chavu,1,manglish,toxic
എല്ലാവർക്കും നന്നായി,0,malayalam,normal
അതൊരു നല്ല നിർദ്ദേശമാണ്,0,malayalam,normal
Have a productive day,0,english,normal
Waste fellow,1,english,toxic
உங்கள் உதவிக்கு நன்றி,0,tamil,normal
உங்கள் வாதத்தை ஏற்கிறேன்,0,tamil,normal
கழுதை மகன்,1,tamil,toxic
கேவலமானவன்,1,tamil,toxic
stupid myre,1,multilingual,toxic
काम चला जाए,1,hindi,toxic
pagal insaan,1,hinglish,toxic
यदि आपको सहायता चाहिए तो मुझे बताएं,0,hindi,normal
അതൊരു രസകരമായ കാഴ്ചപ്പാടാണ്,0,malayalam,normal
bevkoof ja,1,hinglish,toxic
gandu ja,1,hinglish,toxic
പോയി ജോലി നോക്ക്,1,malayalam,toxic
Appreciate your support,0,english,normal
உங்கள் யோசனை எனக்கு பிடித்திருக்கிறது,0,tamil,normal
punda moron,1,multilingual,toxic
புதுப்பித்தலுக்கு நன்றி,0,tamil,normal
தகவலுக்கு நன்றி,0,tamil,normal
जानकारी के लिए धन्यवाद,0,hindi,normal
bevkoof mon,1,hinglish,toxic
മൈരം,1,malayalam,toxic
உங்கள் உதவிக்கு நன்றி,0,tamil,normal
നിങ്ങളുടെ വാദം ഞാൻ അംഗീകരിക്കുന്നു,0,malayalam,normal
poda loosu,1,tanglish,toxic
punda da,1,tanglish,toxic
പാവം,1,malayalam,toxic
That's a good suggestion,0,english,normal
Great work on the project,0,english,normal
புதுப்பித்தலுக்கு நன்றி,0,tamil,normal
Go away you fool,1,english,toxic
உங்கள் வாதத்தை ஏற்கிறேன்,0,tamil,normal
अंधा,1,hindi,toxic
உங்கள் உதவிக்கு நன்றி,0,tamil,normal
உங்கள் ஆதரவைப் பாராட்டுகிறேன்,0,tamil,normal
You're a total waste,1,english,toxic
You good for nothing,1,english,toxic
kamine mon,1,hinglish,toxic
अच्छा काम जारी रखें,0,hindi,normal
നമുക്ക് ഇത് കൂടുതൽ ചർച്ച ചെയ്യാം,0,malayalam,normal
இதைத் தொடர்ந்து செல்வோம்,0,tamil,normal
poda myre,1,manglish,toxic
mon loosu,1,tanglish,toxic
punda da,1,tanglish,toxic
punda da,1,tanglish,toxic
You pathetic loser,1,english,toxic
pagal hai kya,1,hinglish,toxic
பொருக்கி பயலே,1,tamil,toxic
अच्छा काम जारी रखें,0,hindi,normal
da waste,1,multilingual,toxic
கேவலம்,1,tamil,toxic
அது ஒரு சுவாரஸ்யமான பார்வை,0,tamil,normal
randi ka bacha,1,hinglish,toxic
बहरा,1,hindi,toxic
நான் இதை கவனித்துக்கொள்கிறேன்,0,tamil,normal
പുള്ളി മൈരൻ,1,malayalam,toxic
அனைவரும் நன்றாக இருக்கிறார்கள்,0,tamil,normal
தகவலுக்கு நன்றி,0,tamil,normal
Thanks for your time,0,english,normal
muttal poi,1,manglish,toxic
எங்கள் கூட்டத்திற்காக காத்திருக்கிறேன்,0,tamil,normal
വെറുക്കപ്പെട്ട ആള്,1,malayalam,toxic
get lost da,1,multilingual,toxic
தகவலுக்கு நன்றி,0,tamil,normal
poda idiot,1,multilingual,toxic
आइए इस पर और चर्चा करें,0,hindi,normal
mone trash,1,multilingual,toxic
आपका दिन शुभ हो,0,hindi,normal
That's an interesting perspective,0,english,normal
തെണ്ടി പോയി,1,malayalam,toxic
mone pokku,1,manglish,toxic
poyikko myre,1,manglish,toxic
Let's collaborate on this task,0,english,normal
kamine aadmi,1,hinglish,toxic
आपके समय के लिए धन्यवाद,0,hindi,normal
அது ஒரு சுவாரஸ்யமான பார்வை,0,tamil,normal
അതൊരു രസകരമായ കാഴ്ചപ്പാടാണ്,0,malayalam,normal
Have a productive day,0,english,normal
നിങ്ങളുടെ ആശങ്ക ഞാൻ മനസ്സിലാക്കുന്നു,0,malayalam,normal
നിങ്ങളുടെ ചിന്തകൾ പങ്കിട്ടതിന് നന്ദി,0,malayalam,normal
लंगड़ा,1,hindi,toxic
उत्पादक दिन की शुभकामनाएं,0,hindi,normal
muttal da,1,tanglish,toxic
உதவி தேவைப்பட்டால் எனக்குத் தெரியப்படுத்துங்கள்,0,tamil,normal
திரும்பிப் போ,1,tamil,toxic
loosu poi,1,tanglish,toxic
thendi paya,1,tanglish,toxic
அனைவரும் நன்றாக இருக்கிறார்கள்,0,tamil,normal
आइए इस पर और चर्चा करें,0,hindi,normal
That's a good suggestion,0,english,normal
आपकी सहायता के लिए धन्यवाद,0,hindi,normal
പാവം,1,malayalam,toxic
Go to hell,1,english,toxic
mon poyi,1,manglish,toxic
உங்கள் ஆதரவைப் பாராட்டுகிறேன்,0,tamil,normal
randi mon,1,hinglish,toxic
വിഡ്ഢി,1,malayalam,toxic
നീ ഒരു മണ്ടൻ ആണ്,1,malayalam,toxic
kutte mon,1,hinglish,toxic
lund mone,1,hinglish,toxic
நான் இதை கவனித்துக்கொள்கிறேன்,0,tamil,normal
സുപ്രഭാതം എല്ലാവർക്കും,0,malayalam,normal
poyi chavu,1,manglish,toxic
ஓட்டை போய்,1,tamil,toxic
Keep up the good work,0,english,normal
chup myre,1,hinglish,toxic
chutiya mon,1,hinglish,toxic
നിസ്സാരൻ,1,malayalam,toxic
நல்ல வேலை குழு,0,tamil,normal
പൊട്ടാ പോയി,1,malayalam,toxic
നമുക്ക് ഇത് കൂടുതൽ ചർച്ച ചെയ്യാം,0,malayalam,normal
नमस्ते सभी को सुप्रभात,0,hindi,normal
உங்கள் எண்ணங்களைப் பகிர்ந்தமைக்கு நன்றி,0,tamil,normal
ഞാൻ ഇത് കൈകാര്യം ചെയ്യുന്നു,0,malayalam,normal
போய் வேலை பார்,1,tamil,toxic
പട്ടി,1,malayalam,toxic
உங்கள் முயற்சிகளை நான் பாராட்டுகிறேன்,0,tamil,normal
I'll get back to you soon,0,english,normal
நீங்கள் அனைவரையும் பார்த்ததில் மகிழ்ச்சி,0,tamil,normal
chup kar myre,1,hinglish,toxic
உற்பத்தி நாள் வாழ்த்துக்கள்,0,tamil,normal
You dumb fool,1,english,toxic
मैं आपकी बात से सहमत हूं,0,hindi,normal
myre othi,1,tanglish,toxic
പോയിക്കോ ഇവിടെനിന്ന്,1,malayalam,toxic
കോളറൻ,1,malayalam,toxic
you garbage da,1,multilingual,toxic
thendi mone,1,manglish,toxic
திட்டத்தில் நல்ல வேலை,0,tamil,normal
mone trash,1,multilingual,toxic
Shut up loser,1,english,toxic
You disgusting waste,1,english,toxic
உங்கள் உதவிக்கு நன்றி,0,tamil,normal
I'll take care of it,0,english,normal
bhosdi myre,1,hinglish,toxic
myre kevalam,1,tanglish,toxic
கீழ்த்தரம்,1,tamil,toxic
जानकारी के लिए धन्यवाद,0,hindi,normal
வேலை போகட்டும்,1,tamil,toxic
I like your idea,0,english,normal
मैं आपकी चिंता समझता हूं,0,hindi,normal
gadha ho kya,1,hinglish,toxic
कमीना,1,hindi,toxic
പൊട്ടൻ,1,malayalam,toxic
நல்ல வேலை குழு,0,tamil,normal
உங்கள் யோசனை எனக்கு பிடித்திருக்கிறது,0,tamil,normal
உங்கள் ஆதரவைப் பாராட்டுகிறேன்,0,tamil,normal
poyi da myre,1,manglish,toxic
harami mone,1,hinglish,toxic
നല്ല ജോലി ടീം,0,malayalam,normal
நல்ல வார இறுதி நாட்கள்,0,tamil,normal
Go away you fool,1,english,toxic
you gadha,1,multilingual,toxic
poda oombu,1,tanglish,toxic
thendi poi,1,manglish,toxic
പ്രോജക്റ്റിൽ നല്ല പ്രവർത്തനം,0,malayalam,normal
ja be mon,1,hinglish,toxic
You're a failure,1,english,toxic
ഈ ജോലിയിൽ നമുക്ക് സഹകരിക്കാം,0,malayalam,normal
thendi da,1,tanglish,toxic
gadha mon,1,hinglish,toxic
നിങ്ങളെല്ലാം കണ്ടതിൽ സന്തോഷമുണ്ട്,0,malayalam,normal
kamine mon,1,hinglish,toxic
நீங்கள் அனைவரையும் பார்த்ததில் மகிழ்ச்சி,0,tamil,normal
I agree with your point,0,english,normal
अच्छा काम टीम,0,hindi,normal
തിരിച്ചുപോകാൻ,1,malayalam,toxic
आइए मिलकर काम करते हैं,0,hindi,normal
கேவலம்,1,tamil,toxic
முட்டாள் பய,1,tamil,toxic
आइए मिलकर काम करते हैं,0,hindi,normal
आपके समर्थन की सराहना करते हैं,0,hindi,normal
உதவி தேவைப்பட்டால் எனக்குத் தெரியப்படுத்துங்கள்,0,tamil,normal
Thanks for the information,0,english,normal
നിങ്ങളുടെ ആശങ്ക ഞാൻ മനസ്സിലാക്കുന്നു,0,malayalam,normal
जानकारी के लिए धन्यवाद,0,hindi,normal
loser myre,1,multilingual,toxic
ഉൽപാദനപരമായ ഒരു ദിവസം ആശംസിക്കുന്നു,0,malayalam,normal
ഞാൻ ഇത് കൈകാര്യം ചെയ്യുന്നു,0,malayalam,normal
Let's discuss this further,0,english,normal
अयोग्य,1,hindi,toxic
തെണ്ടി പോയി,1,malayalam,toxic
തെണ്ടി പോയി,1,malayalam,toxic
इस कार्य में सहयोग करते हैं,0,hindi,normal
मैं आपकी बात से सहमत हूं,0,hindi,normal
உதவி தேவைப்பட்டால் எனக்குத் தெரியப்படுத்துங்கள்,0,tamil,normal
you garbage da,1,multilingual,toxic
you bevkoof,1,multilingual,toxic
कुत्ता,1,hindi,toxic
हरामी आदमी,1,hindi,toxic
idiot mone,1,multilingual,toxic
पागल,1,hindi,toxic
आप सभी से मिलकर अच्छा लगा,0,hindi,normal
നല്ല പ്രവർത്തനം തുടരുക,0,malayalam,normal
പൊയ്ക്കൊള്ളു മണ്ടാ,1,malayalam,toxic
அசிங்கம்,1,tamil,toxic
जा काम देख,1,hindi,toxic
നമുക്ക് ഇത് മുന്നോട്ട് കൊണ്ടുപോകാം,0,malayalam,normal
സമയം നൽകിയതിന് നന്ദി,0,malayalam,normal
അതൊരു നല്ല നിർദ്ദേശമാണ്,0,malayalam,normal
chutiya mon,1,hinglish,toxic
നിങ്ങളുടെ വാദം ഞാൻ അംഗീകരിക്കുന്നു,0,malayalam,normal
സമയം നൽകിയതിന് നന്ദി,0,malayalam,normal
இதைத் தொடர்ந்து செல்வோம்,0,tamil,normal
punda moron,1,multilingual,toxic
பயலுவது,1,tamil,toxic
நாம் ஒன்றாக வேலை செய்வோம்,0,tamil,normal
Thanks for sharing your thoughts,0,english,normal
பொருக்கி பயலே,1,tamil,toxic
വിഡ്ഢി,1,malayalam,toxic
यह एक अच्छा सुझाव है,0,hindi,normal
Have a productive day,0,english,normal
thendi pokku,1,manglish,toxic
teri maa myre,1,hinglish,toxic
पागल,1,hindi,toxic
मैं आपकी बात से सहमत हूं,0,hindi,normal
fool myre,1,multilingual,toxic
നിങ്ങളെല്ലാം കണ്ടതിൽ സന്തോഷമുണ്ട്,0,malayalam,normal
നീ പോയി ചാവ്,1,malayalam,toxic
Good job team,0,english,normal
यह एक दिलचस्प दृष्टिकोण है,0,hindi,normal
thendi poi,1,manglish,toxic
നിങ്ങളുടെ പ്രയത്നങ്ങളെ ഞാൻ വിലമതിക്കുന്നു,0,malayalam,normal
poyi muttal,1,tanglish,toxic
gandu ja,1,hinglish,toxic
आपकी सहायता के लिए धन्यवाद,0,hindi,normal
போய் வேலை பார்,1,tamil,toxic
आप सभी से मिलकर अच्छा लगा,0,hindi,normal
गंदगी,1,hindi,toxic
നമുക്ക് ഒരുമിച്ച് പ്രവർത്തിക്കാം,0,malayalam,normal
तू बेवकूफ है,1,hindi,toxic
ഇന്നത്തെ ദിവസം ശുഭമായിരിക്കട്ടെ,0,malayalam,normal
I'll take care of it,0,english,normal
உங்கள் எண்ணங்களைப் பகிர்ந்தமைக்கு நன்றி,0,tamil,normal
மொக்க பய,1,tamil,toxic
muttal poi,1,manglish,toxic
Well done everyone,0,english,normal
இன்றைய தினம் மிக நல்லதாக அமையட்டும்,0,tamil,normal
You are garbage,1,english,toxic
Thanks for the information,0,english,normal
புண்ட கழுதை,1,tamil,toxic
இதை மேலும் விவாதிப்போம்,0,tamil,normal
നല്ല പ്രവർത്തനം തുടരുക,0,malayalam,normal
Nice to meet you all,0,english,normal
अच्छा काम टीम,0,hindi,normal
thendi mone,1,manglish,toxic
I'll take care of it,0,english,normal
വേല പോകട്ടെ,1,malayalam,toxic
myre vellam,1,manglish,toxic
That's a good suggestion,0,english,normal
Let's collaborate on this task,0,english,normal
உங்கள் உதவிக்கு நன்றி,0,tamil,normal
പാവം,1,malayalam,toxic
you gadha,1,multilingual,toxic
मैं इसका ध्यान रखूंगा,0,hindi,normal
harami kamine,1,hinglish,toxic
നിങ്ങളെല്ലാം കണ്ടതിൽ സന്തോഷമുണ്ട്,0,malayalam,normal
இந்த பணியில் நாம் ஒத்துழைப்போம்,0,tamil,normal
Thanks for the update,0,english,normal
நான் இதை கவனித்துக்கொள்கிறேன்,0,tamil,normal
poda mone,1,manglish,toxic
Good job team,0,english,normal
കുഴപ്പക്കാരൻ,1,malayalam,toxic
myre vellam,1,manglish,toxic
shut up mon,1,multilingual,toxic
നിന്റെ അമ്മ,1,malayalam,toxic
You're such a fool,1,english,toxic
मैं आपकी चिंता समझता हूं,0,hindi,normal
myre adi,1,manglish,toxic
புண்ட அவன்,1,tamil,toxic
നായ്,1,malayalam,toxic
यदि आपको सहायता चाहिए तो मुझे बताएं,0,hindi,normal
അതൊരു നല്ല നിർദ്ദേശമാണ്,0,malayalam,normal
அது ஒரு நல்ல யோசனை,0,tamil,normal
അതൊരു നല്ല നിർദ്ദേശമാണ്,0,malayalam,normal
kamine aadmi,1,hinglish,toxic
இதைத் தொடர்ந்து செல்வோம்,0,tamil,normal
मैं जल्द ही वापस आऊंगा,0,hindi,normal
സഹായം ആവശ്യമെങ്കിൽ എന്നോട് പറയുക,0,malayalam,normal
आपके समर्थन की सराहना करते हैं,0,hindi,normal
गंदगी,1,hindi,toxic
Thank you for your help,0,english,normal
Have a wonderful day ahead,0,english,normal
die poi,1,multilingual,toxic
Bloody idiot,1,english,toxic
You're a total waste,1,english,toxic
I appreciate your efforts,0,english,normal
നിങ്ങളുടെ പിന്തുണയ്ക്ക് നന്ദി,0,malayalam,normal
chup myre,1,hinglish,toxic
मैं इसका ध्यान रखूंगा,0,hindi,normal
உங்கள் ஆதரவைப் பாராட்டுகிறேன்,0,tamil,normal
bhosdi myre,1,hinglish,toxic
നിങ്ങളുടെ ആശയം എനിക്ക് ഇഷ്ടമായി,0,malayalam,normal
poyi da you idiot,1,multilingual,toxic
चल भाग यहाँ से,1,hindi,toxic
திமிர் பிடித்தவன்,1,tamil,toxic
हमारी मीटिंग का इंतजार है,0,hindi,normal
നിങ്ങളെല്ലാം കണ്ടതിൽ സന്തോഷമുണ്ട്,0,malayalam,normal
You're terrible,1,english,toxic
poyi da you idiot,1,multilingual,toxic
poda mone,1,manglish,toxic
நான் இதை கவனித்துக்கொள்கிறேன்,0,tamil,normal
പൊട്ടി,1,malayalam,toxic
Looking forward to our meeting,0,english,normal
കോളറൻ,1,malayalam,toxic
Die you fool,1,english,toxic
अच्छा काम टीम,0,hindi,normal
கேவலமானவன்,1,tamil,toxic
I understand your concern,0,english,normal
काम चला जाए,1,hindi,toxic
You are stupid,1,english,toxic
I agree with your point,0,english,normal
I understand your concern,0,english,normal
poyi vayasu,1,manglish,toxic
Have a great weekend,0,english,normal
poda myre,1,tanglish,toxic
सभी को बहुत बढ़िया,0,hindi,normal
Thanks for the update,0,english,normal
നമുക്ക് ഒരുമിച്ച് പ്രവർത്തിക്കാം,0,malayalam,normal
kamine aadmi,1,hinglish,toxic
myre adi,1,manglish,toxic
kevalam myre,1,tanglish,toxic
निकम्मा,1,hindi,toxic
बेकार,1,hindi,toxic
चूतिया,1,hindi,toxic
you garbage da,1,multilingual,toxic
randi mon,1,hinglish,toxic
poyikko myre,1,manglish,toxic
Have a great weekend,0,english,normal
I understand your concern,0,english,normal
तेरे सिर पर चढ़ जाऊं,1,hindi,toxic
നിന്റെ തലയിൽ കയറി,1,malayalam,toxic
നമുക്ക് ഇത് മുന്നോട്ട് കൊണ്ടുപോകാം,0,malayalam,normal
തിരിച്ചുപോകാൻ,1,malayalam,toxic
Have a wonderful day ahead,0,english,normal
आइए इसे आगे बढ़ाएं,0,hindi,normal
திரும்பிப் போ,1,tamil,toxic
പൊയ്ക്കൊള്ളു മണ്ടാ,1,malayalam,toxic
மடையன் போடா,1,tamil,toxic
നിങ്ങളുടെ സഹായത്തിന് നന്ദി,0,malayalam,normal
आइए इस पर और चर्चा करें,0,hindi,normal
mon garbage,1,multilingual,toxic
அசிங்கம்,1,tamil,toxic
भोसड़ी वाला,1,hindi,toxic
Great work on the project,0,english,normal
garbage mon,1,multilingual,toxic
Thanks for the update,0,english,normal
നിങ്ങളുടെ സഹായത്തിന് നന്ദി,0,malayalam,normal
poyi thirinu,1,manglish,toxic
You pathetic loser,1,english,toxic
I'll get back to you soon,0,english,normal
திட்டத்தில் நல்ல வேலை,0,tamil,normal
chutiya mon,1,hinglish,toxic
muttal po,1,tanglish,toxic
punda da,1,manglish,toxic
